0,1,2,8,38,49
0,1,2,8,38,50
0,1,2,8,38,51
0,1,2,8,38,52
0,1,2,8,38,53
0,1,2,8,38,54
0,1,2,8,38,55
0,1,2,8,40,41
0,1,2,8,40,43
0,1,2,8,40,44
0,1,2,8,40,46
0,1,2,8,40,47
0,1,2,8,40,49
0,1,2,8,40,50
0,1,2,8,40,52
0,1,2,8,40,53
0,1,2,8,41,42
0,1,2,8,41,43
0,1,2,8,41,44
0,1,2,8,41,45
0,1,2,8,41,46
0,1,2,8,41,47
0,1,2,8,41,48
0,1,2,8,41,49
0,1,2,8,41,50
0,1,2,8,41,51
0,1,2,8,41,52
0,1,2,8,41,53
0,1,2,8,41,54
0,1,2,8,41,55
0,1,2,8,43,44
0,1,2,8,43,45
0,1,2,8,43,46
0,1,2,8,43,47
0,1,2,8,43,48
0,1,2,8,43,49
0,1,2,8,43,50
0,1,2,8,43,51
0,1,2,8,43,52
0,1,2,8,43,53
0,1,2,8,43,54
0,1,2,8,43,55
0,1,2,8,44,46
0,1,2,8,44,47
0,1,2,8,44,49
0,1,2,8,44,50
0,1,2,8,44,52
0,1,2,8,44,53
0,1,2,8,46,47
0,1,2,8,46,49
0,1,2,8,46,50
